Genus,total_genus,Source,Gene1,Gene2,total_source,amr_only,both_genes,comparison
Acinetobacter,28242,Egg,aac(3),qac,2,0,0,aac(3)+qac
Acinetobacter,28242,Egg,aac(3),bcrABC,2,0,0,aac(3)+bcrABC
Acinetobacter,28242,Egg,aac(3),crcB,2,0,0,aac(3)+crcB
Acinetobacter,28242,Egg,aac(3),lmrS,2,0,0,aac(3)+lmrS
Acinetobacter,28242,Egg,aac(3),smr,2,0,0,aac(3)+smr
Acinetobacter,28242,Egg,aac(3),emrE,2,0,0,aac(3)+emrE
Acinetobacter,28242,Egg,aac(6')-Ib-cr,qac,2,0,0,aac(6')-Ib-cr+qac
Acinetobacter,28242,Egg,aac(6')-Ib-cr,bcrABC,2,0,0,aac(6')-Ib-cr+bcrABC
Acinetobacter,28242,Egg,aac(6')-Ib-cr,crcB,2,0,0,aac(6')-Ib-cr+crcB
Acinetobacter,28242,Egg,aac(6')-Ib-cr,lmrS,2,0,0,aac(6')-Ib-cr+lmrS
Acinetobacter,28242,Egg,aac(6')-Ib-cr,smr,2,0,0,aac(6')-Ib-cr+smr
Acinetobacter,28242,Egg,aac(6')-Ib-cr,emrE,2,0,0,aac(6')-Ib-cr+emrE
Acinetobacter,28242,Egg,aadA,qac,2,0,0,aadA+qac
Acinetobacter,28242,Egg,aadA,bcrABC,2,0,0,aadA+bcrABC
Acinetobacter,28242,Egg,aadA,crcB,2,0,0,aadA+crcB
Acinetobacter,28242,Egg,aadA,lmrS,2,0,0,aadA+lmrS
Acinetobacter,28242,Egg,aadA,smr,2,0,0,aadA+smr
Acinetobacter,28242,Egg,aadA,emrE,2,0,0,aadA+emrE
Acinetobacter,28242,Egg,aph(3'')-Ib,qac,2,0,0,aph(3'')-Ib+qac
Acinetobacter,28242,Egg,aph(3'')-Ib,bcrABC,2,0,0,aph(3'')-Ib+bcrABC
Acinetobacter,28242,Egg,aph(3'')-Ib,crcB,2,0,0,aph(3'')-Ib+crcB
Acinetobacter,28242,Egg,aph(3'')-Ib,lmrS,2,0,0,aph(3'')-Ib+lmrS
Acinetobacter,28242,Egg,aph(3'')-Ib,smr,2,0,0,aph(3'')-Ib+smr
Acinetobacter,28242,Egg,aph(3'')-Ib,emrE,2,0,0,aph(3'')-Ib+emrE
Acinetobacter,28242,Egg,aph(3'),qac,2,0,0,aph(3')+qac
Acinetobacter,28242,Egg,aph(3'),bcrABC,2,0,0,aph(3')+bcrABC
Acinetobacter,28242,Egg,aph(3'),crcB,2,0,0,aph(3')+crcB
Acinetobacter,28242,Egg,aph(3'),lmrS,2,0,0,aph(3')+lmrS
Acinetobacter,28242,Egg,aph(3'),smr,2,0,0,aph(3')+smr
Acinetobacter,28242,Egg,aph(3'),emrE,2,0,0,aph(3')+emrE
Acinetobacter,28242,Egg,aph(6)-Id,qac,2,0,0,aph(6)-Id+qac
Acinetobacter,28242,Egg,aph(6)-Id,bcrABC,2,0,0,aph(6)-Id+bcrABC
Acinetobacter,28242,Egg,aph(6)-Id,crcB,2,0,0,aph(6)-Id+crcB
Acinetobacter,28242,Egg,aph(6)-Id,lmrS,2,0,0,aph(6)-Id+lmrS
Acinetobacter,28242,Egg,aph(6)-Id,smr,2,0,0,aph(6)-Id+smr
Acinetobacter,28242,Egg,aph(6)-Id,emrE,2,0,0,aph(6)-Id+emrE
Acinetobacter,28242,Egg,blaCMY,qac,2,0,0,blaCMY+qac
Acinetobacter,28242,Egg,blaCMY,bcrABC,2,0,0,blaCMY+bcrABC
Acinetobacter,28242,Egg,blaCMY,crcB,2,0,0,blaCMY+crcB
Acinetobacter,28242,Egg,blaCMY,lmrS,2,0,0,blaCMY+lmrS
Acinetobacter,28242,Egg,blaCMY,smr,2,0,0,blaCMY+smr
Acinetobacter,28242,Egg,blaCMY,emrE,2,0,0,blaCMY+emrE
Acinetobacter,28242,Egg,blaCMY-2,qac,2,0,0,blaCMY-2+qac
Acinetobacter,28242,Egg,blaCMY-2,bcrABC,2,0,0,blaCMY-2+bcrABC
Acinetobacter,28242,Egg,blaCMY-2,crcB,2,0,0,blaCMY-2+crcB
Acinetobacter,28242,Egg,blaCMY-2,lmrS,2,0,0,blaCMY-2+lmrS
Acinetobacter,28242,Egg,blaCMY-2,smr,2,0,0,blaCMY-2+smr
Acinetobacter,28242,Egg,blaCMY-2,emrE,2,0,0,blaCMY-2+emrE
Acinetobacter,28242,Egg,blaCTX-M,qac,2,0,0,blaCTX-M+qac
Acinetobacter,28242,Egg,blaCTX-M,bcrABC,2,0,0,blaCTX-M+bcrABC
Acinetobacter,28242,Egg,blaCTX-M,crcB,2,0,0,blaCTX-M+crcB
Acinetobacter,28242,Egg,blaCTX-M,lmrS,2,0,0,blaCTX-M+lmrS
Acinetobacter,28242,Egg,blaCTX-M,smr,2,0,0,blaCTX-M+smr
Acinetobacter,28242,Egg,blaCTX-M,emrE,2,0,0,blaCTX-M+emrE
Acinetobacter,28242,Egg,blaIMP,qac,2,0,0,blaIMP+qac
Acinetobacter,28242,Egg,blaIMP,bcrABC,2,0,0,blaIMP+bcrABC
Acinetobacter,28242,Egg,blaIMP,crcB,2,0,0,blaIMP+crcB
Acinetobacter,28242,Egg,blaIMP,lmrS,2,0,0,blaIMP+lmrS
Acinetobacter,28242,Egg,blaIMP,smr,2,0,0,blaIMP+smr
Acinetobacter,28242,Egg,blaIMP,emrE,2,0,0,blaIMP+emrE
Acinetobacter,28242,Egg,blaKPC,qac,2,0,0,blaKPC+qac
Acinetobacter,28242,Egg,blaKPC,bcrABC,2,0,0,blaKPC+bcrABC
Acinetobacter,28242,Egg,blaKPC,crcB,2,0,0,blaKPC+crcB
Acinetobacter,28242,Egg,blaKPC,lmrS,2,0,0,blaKPC+lmrS
Acinetobacter,28242,Egg,blaKPC,smr,2,0,0,blaKPC+smr
Acinetobacter,28242,Egg,blaKPC,emrE,2,0,0,blaKPC+emrE
