Genus,Total_genus,Source,Class,total_from_source,number_res
Acinetobacter,28242,Raw pet food,aminoglycoside+Biocide,1,0
Acinetobacter,28242,Raw pet food,betalactam+Biocide,1,0
Acinetobacter,28242,Raw pet food,bleomycin+Biocide,1,0
Acinetobacter,28242,Raw pet food,fosfomycin+Biocide,1,0
Acinetobacter,28242,Raw pet food,fusidic acid+Biocide,1,0
Acinetobacter,28242,Raw pet food,glycopeptide+Biocide,1,0
Acinetobacter,28242,Raw pet food,MLS+Biocide,1,0
Acinetobacter,28242,Raw pet food,macrolide+Biocide,1,0
Acinetobacter,28242,Raw pet food,lincosamide+Biocide,1,0
Acinetobacter,28242,Raw pet food,lincosamide_streptogramin+Biocide,1,0
Acinetobacter,28242,Raw pet food,mupirocin+Biocide,1,0
Acinetobacter,28242,Raw pet food,nitroimidazole+Biocide,1,0
Acinetobacter,28242,Raw pet food,phenicol+Biocide,1,0
Acinetobacter,28242,Raw pet food,phenicol_oxazolidinone+Biocide,1,0
Acinetobacter,28242,Raw pet food,phenicol_quinolone+Biocide,1,0
Acinetobacter,28242,Raw pet food,pluromutilin+Biocide,1,0
Acinetobacter,28242,Raw pet food,polymyxin+Biocide,1,0
Acinetobacter,28242,Raw pet food,quinolone+Biocide,1,0
Acinetobacter,28242,Raw pet food,rifamycin+Biocide,1,0
Acinetobacter,28242,Raw pet food,streptogramin+Biocide,1,0
Acinetobacter,28242,Raw pet food,streptothricin+Biocide,1,0
Acinetobacter,28242,Raw pet food,sulphonamide+Biocide,1,0
Acinetobacter,28242,Raw pet food,tetracenomycin+Biocide,1,0
Acinetobacter,28242,Raw pet food,tetracycline+Biocide,1,0
Acinetobacter,28242,Raw pet food,thiostrepton+Biocide,1,0
Acinetobacter,28242,Raw pet food,trimethoprim+Biocide,1,0
Acinetobacter,28242,Raw pet food,tuberactinomycin+Biocide,1,0
Acinetobacter,28242,Raw pet food,Metal+Biocide,1,0
Acinetobacter,28242,Pet food,aminoglycoside+Biocide,,
Acinetobacter,28242,Pet food,betalactam+Biocide,,
Acinetobacter,28242,Pet food,bleomycin+Biocide,,
Acinetobacter,28242,Pet food,fosfomycin+Biocide,,
Acinetobacter,28242,Pet food,fusidic acid+Biocide,,
Acinetobacter,28242,Pet food,glycopeptide+Biocide,,
Acinetobacter,28242,Pet food,MLS+Biocide,,
Acinetobacter,28242,Pet food,macrolide+Biocide,,
Acinetobacter,28242,Pet food,lincosamide+Biocide,,
Acinetobacter,28242,Pet food,lincosamide_streptogramin+Biocide,,
Acinetobacter,28242,Pet food,mupirocin+Biocide,,
Acinetobacter,28242,Pet food,nitroimidazole+Biocide,,
Acinetobacter,28242,Pet food,phenicol+Biocide,,
Acinetobacter,28242,Pet food,phenicol_oxazolidinone+Biocide,,
Acinetobacter,28242,Pet food,phenicol_quinolone+Biocide,,
Acinetobacter,28242,Pet food,pluromutilin+Biocide,,
Acinetobacter,28242,Pet food,polymyxin+Biocide,,
Acinetobacter,28242,Pet food,quinolone+Biocide,,
Acinetobacter,28242,Pet food,rifamycin+Biocide,,
