Genus,total_genus,Source,Gene,number,total
Acinetobacter,28242,Raw pet food,aac(3),1,0
Acinetobacter,28242,Raw pet food,aac(6')-Ib-cr,1,0
Acinetobacter,28242,Raw pet food,aadA,1,0
Acinetobacter,28242,Raw pet food,aph(3'')-Ib,1,0
Acinetobacter,28242,Raw pet food,aph(3'),1,0
Acinetobacter,28242,Raw pet food,aph(6)-Id,1,0
Acinetobacter,28242,Raw pet food,blaACT,1,0
Acinetobacter,28242,Raw pet food,blaCARB,1,0
Acinetobacter,28242,Raw pet food,blaCMY,1,0
Acinetobacter,28242,Raw pet food,blaCMY-2,1,0
Acinetobacter,28242,Raw pet food,blaCTX-M,1,0
Acinetobacter,28242,Raw pet food,blaGES,1,0
Acinetobacter,28242,Raw pet food,blaIMP,1,0
Acinetobacter,28242,Raw pet food,blaKPC,1,0
Acinetobacter,28242,Raw pet food,blaNDM,1,0
Acinetobacter,28242,Raw pet food,blaOXA,1,1
Acinetobacter,28242,Raw pet food,blaPER,1,0
Acinetobacter,28242,Raw pet food,blaSHV,1,0
Acinetobacter,28242,Raw pet food,blaTEM,1,0
Acinetobacter,28242,Raw pet food,blaVIM,1,0
Acinetobacter,28242,Raw pet food,catA,1,0
Acinetobacter,28242,Raw pet food,cmlA,1,0
Acinetobacter,28242,Raw pet food,dfrA,1,0
Acinetobacter,28242,Raw pet food,mec,1,0
Acinetobacter,28242,Raw pet food,mcr-,1,0
Acinetobacter,28242,Raw pet food,mcr-1,1,0
Acinetobacter,28242,Raw pet food,mcr-9,1,0
Acinetobacter,28242,Raw pet food,qnrS,1,0
Acinetobacter,28242,Raw pet food,sul,1,0
Acinetobacter,28242,Raw pet food,tet,1,0
Acinetobacter,28242,Raw pet food,van,1,0
Acinetobacter,28242,Raw pet food,gyrA,1,0
Acinetobacter,28242,Raw pet food,parC,1,0
Acinetobacter,28242,Raw pet food,parE,1,0
Acinetobacter,28242,Pet food,aac(3),,
Acinetobacter,28242,Pet food,aac(6')-Ib-cr,,
Acinetobacter,28242,Pet food,aadA,,
Acinetobacter,28242,Pet food,aph(3'')-Ib,,
Acinetobacter,28242,Pet food,aph(3'),,
