Genus,Total_genus,Source,Gene,number,total
Acinetobacter,28242,Raw pet food,qac,1,0
Acinetobacter,28242,Raw pet food,qacEdelta,1,0
Acinetobacter,28242,Raw pet food,qacC,1,0
Acinetobacter,28242,Raw pet food,qacE,1,0
Acinetobacter,28242,Raw pet food,qacA,1,0
Acinetobacter,28242,Raw pet food,qacB,1,0
Acinetobacter,28242,Raw pet food,qacF,1,0
Acinetobacter,28242,Raw pet food,qacG,1,0
Acinetobacter,28242,Raw pet food,qacH,1,0
Acinetobacter,28242,Raw pet food,qacJ,1,0
Acinetobacter,28242,Raw pet food,qacK,1,0
Acinetobacter,28242,Raw pet food,qacL,1,0
Acinetobacter,28242,Raw pet food,qacM,1,0
Acinetobacter,28242,Raw pet food,sugE,1,0
Acinetobacter,28242,Raw pet food,bcrABC,1,0
Acinetobacter,28242,Raw pet food,crcB,1,0
Acinetobacter,28242,Raw pet food,srp,1,0
Acinetobacter,28242,Raw pet food,smd,1,0
Acinetobacter,28242,Raw pet food,sde,1,0
Acinetobacter,28242,Raw pet food,lmrS,1,0
Acinetobacter,28242,Raw pet food,smr,1,0
Acinetobacter,28242,Raw pet food,ssmE,1,0
Acinetobacter,28242,Raw pet food,tbtR,1,0
Acinetobacter,28242,Raw pet food,ttg,1,0
Acinetobacter,28242,Raw pet food,ttgR,1,0
Acinetobacter,28242,Raw pet food,ttgT,1,0
Acinetobacter,28242,Raw pet food,mtrF,1,0
Acinetobacter,28242,Raw pet food,emrE,1,0
Acinetobacter,28242,Pet food,qac,,
Acinetobacter,28242,Pet food,qacEdelta,,
Acinetobacter,28242,Pet food,qacC,,
Acinetobacter,28242,Pet food,qacE,,
Acinetobacter,28242,Pet food,qacA,,
Acinetobacter,28242,Pet food,qacB,,
Acinetobacter,28242,Pet food,qacF,,
Acinetobacter,28242,Pet food,qacG,,
Acinetobacter,28242,Pet food,qacH,,
Acinetobacter,28242,Pet food,qacJ,,
Acinetobacter,28242,Pet food,qacK,,
Acinetobacter,28242,Pet food,qacL,,
Acinetobacter,28242,Pet food,qacM,,
Acinetobacter,28242,Pet food,sugE,,
Acinetobacter,28242,Pet food,bcrABC,,
Acinetobacter,28242,Pet food,crcB,,
Acinetobacter,28242,Pet food,srp,,
Acinetobacter,28242,Pet food,smd,,
Acinetobacter,28242,Pet food,sde,,
Acinetobacter,28242,Pet food,lmrS,,
