Genus,Total_genus,Source,Class,total_from_source,number_res
Acinetobacter,28242,Raw pet food,aminoglycoside,1,1
Acinetobacter,28242,Raw pet food,betalactam,1,1
Acinetobacter,28242,Raw pet food,bleomycin,1,0
Acinetobacter,28242,Raw pet food,fosfomycin,1,1
Acinetobacter,28242,Raw pet food,fusidic acid,1,0
Acinetobacter,28242,Raw pet food,glycopeptide,1,0
Acinetobacter,28242,Raw pet food,MLS,1,0
Acinetobacter,28242,Raw pet food,macrolide,1,0
Acinetobacter,28242,Raw pet food,lincosamide,1,0
Acinetobacter,28242,Raw pet food,lincosamide_streptogramin,1,0
Acinetobacter,28242,Raw pet food,mupirocin,1,0
Acinetobacter,28242,Raw pet food,nitroimidazole,1,0
Acinetobacter,28242,Raw pet food,phenicol,1,0
Acinetobacter,28242,Raw pet food,phenicol_oxazolidinone,1,0
Acinetobacter,28242,Raw pet food,phenicol_quinolone,1,0
Acinetobacter,28242,Raw pet food,pluromutilin,1,0
Acinetobacter,28242,Raw pet food,polymyxin,1,0
Acinetobacter,28242,Raw pet food,quinolone,1,0
Acinetobacter,28242,Raw pet food,rifamycin,1,0
Acinetobacter,28242,Raw pet food,streptogramin,1,0
Acinetobacter,28242,Raw pet food,streptothricin,1,0
Acinetobacter,28242,Raw pet food,sulphonamide,1,0
Acinetobacter,28242,Raw pet food,tetracenomycin,1,0
Acinetobacter,28242,Raw pet food,tetracycline,1,0
Acinetobacter,28242,Raw pet food,thiostrepton,1,0
Acinetobacter,28242,Raw pet food,trimethoprim,1,0
Acinetobacter,28242,Raw pet food,tuberactinomycin,1,0
Acinetobacter,28242,Raw pet food,Biocide,1,0
Acinetobacter,28242,Raw pet food,Metal,1,1
Acinetobacter,28242,Pet food,aminoglycoside,,
Acinetobacter,28242,Pet food,betalactam,,
Acinetobacter,28242,Pet food,bleomycin,,
Acinetobacter,28242,Pet food,fosfomycin,,
Acinetobacter,28242,Pet food,fusidic acid,,
Acinetobacter,28242,Pet food,glycopeptide,,
Acinetobacter,28242,Pet food,MLS,,
Acinetobacter,28242,Pet food,macrolide,,
Acinetobacter,28242,Pet food,lincosamide,,
Acinetobacter,28242,Pet food,lincosamide_streptogramin,,
Acinetobacter,28242,Pet food,mupirocin,,
Acinetobacter,28242,Pet food,nitroimidazole,,
Acinetobacter,28242,Pet food,phenicol,,
Acinetobacter,28242,Pet food,phenicol_oxazolidinone,,
Acinetobacter,28242,Pet food,phenicol_quinolone,,
Acinetobacter,28242,Pet food,pluromutilin,,
Acinetobacter,28242,Pet food,polymyxin,,
Acinetobacter,28242,Pet food,quinolone,,
Acinetobacter,28242,Pet food,rifamycin,,
Acinetobacter,28242,Pet food,streptogramin,,
Acinetobacter,28242,Pet food,streptothricin,,
Acinetobacter,28242,Pet food,sulphonamide,,
