Genus,total_genus,Source,Gene,number,total
Acinetobacter,28242,Raw pet food,acr,1,0
Acinetobacter,28242,Raw pet food,ars,1,0
Acinetobacter,28242,Raw pet food,cad,1,0
Acinetobacter,28242,Raw pet food,chr,1,0
Acinetobacter,28242,Raw pet food,cnr,1,0
Acinetobacter,28242,Raw pet food,cop,1,0
Acinetobacter,28242,Raw pet food,cue,1,0
Acinetobacter,28242,Raw pet food,dps,1,0
Acinetobacter,28242,Raw pet food,fie,1,0
Acinetobacter,28242,Raw pet food,gol,1,0
Acinetobacter,28242,Raw pet food,kla,1,0
Acinetobacter,28242,Raw pet food,mco,1,0
Acinetobacter,28242,Raw pet food,mer,1,0
Acinetobacter,28242,Raw pet food,mrd,1,0
Acinetobacter,28242,Raw pet food,mre,1,0
Acinetobacter,28242,Raw pet food,ncc,1,0
Acinetobacter,28242,Raw pet food,ncr,1,0
Acinetobacter,28242,Raw pet food,nir,1,0
Acinetobacter,28242,Raw pet food,nre,1,1
Acinetobacter,28242,Raw pet food,pco,1,0
Acinetobacter,28242,Raw pet food,sil,1,0
Acinetobacter,28242,Raw pet food,tcr,1,0
Acinetobacter,28242,Raw pet food,ter,1,0
Acinetobacter,28242,Pet food,acr,,
Acinetobacter,28242,Pet food,ars,,
Acinetobacter,28242,Pet food,cad,,
Acinetobacter,28242,Pet food,chr,,
Acinetobacter,28242,Pet food,cnr,,
Acinetobacter,28242,Pet food,cop,,
Acinetobacter,28242,Pet food,cue,,
Acinetobacter,28242,Pet food,dps,,
Acinetobacter,28242,Pet food,fie,,
Acinetobacter,28242,Pet food,gol,,
Acinetobacter,28242,Pet food,kla,,
Acinetobacter,28242,Pet food,mco,,
Acinetobacter,28242,Pet food,mer,,
Acinetobacter,28242,Pet food,mrd,,
Acinetobacter,28242,Pet food,mre,,
Acinetobacter,28242,Pet food,ncc,,
Acinetobacter,28242,Pet food,ncr,,
Acinetobacter,28242,Pet food,nir,,
Acinetobacter,28242,Pet food,nre,,
Acinetobacter,28242,Pet food,pco,,
Acinetobacter,28242,Pet food,sil,,
Acinetobacter,28242,Pet food,tcr,,
