Genus,Source,Cluster,total_source,number
Acinetobacter,Animal feed,vanA_YXcluster,1,0
Acinetobacter,Animal feed,vanA_cluster,1,0
Acinetobacter,Animal feed,vanB_YXcluster,1,0
Acinetobacter,Animal feed,vanB_cluster,1,0
Acinetobacter,Animal feed,vanRSPt_cluster,1,0
Acinetobacter,Animal feed,vanGZ_cluster,1,0
Acinetobacter,Animal feed,vanG_cluster,1,0
Acinetobacter,Raw pet food,vanA_YXcluster,1,0
Acinetobacter,Raw pet food,vanA_cluster,1,0
Acinetobacter,Raw pet food,vanB_YXcluster,1,0
Acinetobacter,Raw pet food,vanB_cluster,1,0
Acinetobacter,Raw pet food,vanRSPt_cluster,1,0
Acinetobacter,Raw pet food,vanGZ_cluster,1,0
Acinetobacter,Raw pet food,vanG_cluster,1,0
Acinetobacter,Pet food,vanA_YXcluster,0,0
Acinetobacter,Pet food,vanA_cluster,0,0
Acinetobacter,Pet food,vanB_YXcluster,0,0
Acinetobacter,Pet food,vanB_cluster,0,0
Acinetobacter,Pet food,vanRSPt_cluster,0,0
Acinetobacter,Pet food,vanGZ_cluster,0,0
Acinetobacter,Pet food,vanG_cluster,0,0
Acinetobacter,Egg,vanA_YXcluster,2,0
Acinetobacter,Egg,vanA_cluster,2,0
Acinetobacter,Egg,vanB_YXcluster,2,0
Acinetobacter,Egg,vanB_cluster,2,0
Acinetobacter,Egg,vanRSPt_cluster,2,0
Acinetobacter,Egg,vanGZ_cluster,2,0
Acinetobacter,Egg,vanG_cluster,2,0
Acinetobacter,Fish/Seafood,vanA_YXcluster,1,0
Acinetobacter,Fish/Seafood,vanA_cluster,1,0
Acinetobacter,Fish/Seafood,vanB_YXcluster,1,0
Acinetobacter,Fish/Seafood,vanB_cluster,1,0
Acinetobacter,Fish/Seafood,vanRSPt_cluster,1,0
Acinetobacter,Fish/Seafood,vanGZ_cluster,1,0
Acinetobacter,Fish/Seafood,vanG_cluster,1,0
Acinetobacter,Multi-product,vanA_YXcluster,13,0
Acinetobacter,Multi-product,vanA_cluster,13,0
Acinetobacter,Multi-product,vanB_YXcluster,13,0
Acinetobacter,Multi-product,vanB_cluster,13,0
Acinetobacter,Multi-product,vanRSPt_cluster,13,0
Acinetobacter,Multi-product,vanGZ_cluster,13,0
Acinetobacter,Multi-product,vanG_cluster,13,0
Acinetobacter,Meat/Poultry,vanA_YXcluster,3,0
Acinetobacter,Meat/Poultry,vanA_cluster,3,0
Acinetobacter,Meat/Poultry,vanB_YXcluster,3,0
Acinetobacter,Meat/Poultry,vanB_cluster,3,0
