Genus,Source,Gene,number,total,Percent
Acinetobacter,Clinical,qac,3486,8156,42.74153997
Acinetobacter,Animal,qac,4,39,10.25641026
Acinetobacter,Animal environment,qac,,,
Acinetobacter,Animal feces,qac,,,
Acinetobacter,Farm,qac,,,
Acinetobacter,Egg,qac,0,1,0
Acinetobacter,Farm sewage,qac,,,
Acinetobacter,Fish/Seafood,qac,0,1,0
Acinetobacter,Food,qac,,,
Acinetobacter,Meat,qac,446,1113,40.07187781
Acinetobacter,Reptile,qac,,,
Acinetobacter,Cider,qac,,,
Acinetobacter,Dairy,qac,,,
Acinetobacter,Slaughterhouse,qac,,,
Acinetobacter,Farm water,qac,,,
Acinetobacter,Flour,qac,,,
Acinetobacter,Fruit/vegetables,qac,0,3,0
Acinetobacter,Seeds,qac,,,
Acinetobacter,Spice_Herbs,qac,,,
Acinetobacter,Insect,qac,,,
Acinetobacter,Nuts,qac,,,
Acinetobacter,Plant,qac,0,5,0
Acinetobacter,Sewage,qac,,,
Acinetobacter,Wastewater,qac,0,1,0
Acinetobacter,Water,qac,0,18,0
Acinetobacter,Tea,qac,,,
Acinetobacter,Clinical,qacEdelta,3341,8156,40.9637077
Acinetobacter,Animal,qacEdelta,4,39,10.25641026
Acinetobacter,Animal environment,qacEdelta,,,
Acinetobacter,Animal feces,qacEdelta,,,
Acinetobacter,Farm,qacEdelta,,,
Acinetobacter,Egg,qacEdelta,0,1,0
Acinetobacter,Farm sewage,qacEdelta,,,
Acinetobacter,Fish/Seafood,qacEdelta,0,1,0
Acinetobacter,Food,qacEdelta,,,
Acinetobacter,Meat,qacEdelta,419,1113,37.6460018
Acinetobacter,Reptile,qacEdelta,,,
Acinetobacter,Cider,qacEdelta,,,
Acinetobacter,Dairy,qacEdelta,,,
Acinetobacter,Slaughterhouse,qacEdelta,,,
Acinetobacter,Farm water,qacEdelta,,,
Acinetobacter,Flour,qacEdelta,,,
Acinetobacter,Fruit/vegetables,qacEdelta,0,3,0
