Genus,Source,Class,number,total,Percent
Escherichia coli,Clinical,aminoglycoside,19115,40973,46.65267371
Escherichia coli,Animal,aminoglycoside,9004,19822,45.42427606
Escherichia coli,Animal environment,aminoglycoside,16,170,9.411764706
Escherichia coli,Animal feces,aminoglycoside,4332,12396,34.94675702
Escherichia coli,Farm,aminoglycoside,2598,6060,42.87128713
Escherichia coli,Egg,aminoglycoside,8,28,28.57142857
Escherichia coli,Farm sewage,aminoglycoside,,,
Escherichia coli,Fish/Seafood,aminoglycoside,76,440,17.27272727
Escherichia coli,Food,aminoglycoside,1974,5138,38.41961853
Escherichia coli,Meat,aminoglycoside,10578,24090,43.91033624
Escherichia coli,Reptile,aminoglycoside,4,10,40
Escherichia coli,Cider,aminoglycoside,0,14,0
Escherichia coli,Dairy,aminoglycoside,177,969,18.26625387
Escherichia coli,Slaughterhouse,aminoglycoside,345,681,50.66079295
Escherichia coli,Farm water,aminoglycoside,15,45,33.33333333
Escherichia coli,Flour,aminoglycoside,2,84,2.380952381
Escherichia coli,Fruit/vegetables,aminoglycoside,189,763,24.7706422
Escherichia coli,Seeds,aminoglycoside,,,
Escherichia coli,Spice_Herbs,aminoglycoside,12,88,13.63636364
Escherichia coli,Insect,aminoglycoside,24,46,52.17391304
Escherichia coli,Nuts,aminoglycoside,0,29,0
Escherichia coli,Plant,aminoglycoside,0,16,0
Escherichia coli,Sewage,aminoglycoside,442,660,66.96969697
Escherichia coli,Wastewater,aminoglycoside,526,1230,42.76422764
Escherichia coli,Water,aminoglycoside,376,1464,25.68306011
Escherichia coli,Tea,aminoglycoside,,,
Escherichia coli,Clinical,betalactam,21191,40973,51.71942499
Escherichia coli,Animal,betalactam,6824,19822,34.42639491
Escherichia coli,Animal environment,betalactam,16,170,9.411764706
Escherichia coli,Animal feces,betalactam,3736,12396,30.13875444
Escherichia coli,Farm,betalactam,1878,6060,30.99009901
Escherichia coli,Egg,betalactam,2,28,7.142857143
Escherichia coli,Farm sewage,betalactam,,,
Escherichia coli,Fish/Seafood,betalactam,56,440,12.72727273
Escherichia coli,Food,betalactam,1897,5138,36.92098093
Escherichia coli,Meat,betalactam,10701,24090,44.42092154
Escherichia coli,Reptile,betalactam,2,10,20
Escherichia coli,Cider,betalactam,0,14,0
Escherichia coli,Dairy,betalactam,162,969,16.71826625
Escherichia coli,Slaughterhouse,betalactam,492,681,72.24669604
Escherichia coli,Farm water,betalactam,12,45,26.66666667
Escherichia coli,Flour,betalactam,0,84,0
Escherichia coli,Fruit/vegetables,betalactam,150,763,19.65923984
Escherichia coli,Seeds,betalactam,,,
Escherichia coli,Spice_Herbs,betalactam,2,88,2.272727273
Escherichia coli,Insect,betalactam,4,46,8.695652174
Escherichia coli,Nuts,betalactam,0,29,0
Escherichia coli,Plant,betalactam,0,16,0
Escherichia coli,Sewage,betalactam,494,660,74.84848485
Escherichia coli,Wastewater,betalactam,708,1230,57.56097561
Escherichia coli,Water,betalactam,386,1464,26.36612022
Escherichia coli,Tea,betalactam,,,
Escherichia coli,Clinical,bleomycin,348,40973,0.849339809
Escherichia coli,Animal,bleomycin,424,19822,2.139037433
Escherichia coli,Animal environment,bleomycin,0,170,0
Escherichia coli,Animal feces,bleomycin,24,12396,0.193610842
Escherichia coli,Farm,bleomycin,210,6060,3.465346535
Escherichia coli,Egg,bleomycin,0,28,0
Escherichia coli,Farm sewage,bleomycin,,,
Escherichia coli,Fish/Seafood,bleomycin,0,440,0
Escherichia coli,Food,bleomycin,98,5138,1.907356948
Escherichia coli,Meat,bleomycin,210,24090,0.871731009
Escherichia coli,Reptile,bleomycin,0,10,0
Escherichia coli,Cider,bleomycin,0,14,0
Escherichia coli,Dairy,bleomycin,0,969,0
Escherichia coli,Slaughterhouse,bleomycin,12,681,1.762114537
Escherichia coli,Farm water,bleomycin,0,45,0
Escherichia coli,Flour,bleomycin,0,84,0
Escherichia coli,Fruit/vegetables,bleomycin,4,763,0.524246396
Escherichia coli,Seeds,bleomycin,,,
Escherichia coli,Spice_Herbs,bleomycin,0,88,0
Escherichia coli,Insect,bleomycin,0,46,0
Escherichia coli,Nuts,bleomycin,0,29,0
Escherichia coli,Plant,bleomycin,0,16,0
Escherichia coli,Sewage,bleomycin,12,660,1.818181818
Escherichia coli,Wastewater,bleomycin,4,1230,0.325203252
Escherichia coli,Water,bleomycin,6,1464,0.409836066
Escherichia coli,Tea,bleomycin,,,
Escherichia coli,Clinical,fosfomycin,6002,40973,14.64867108
Escherichia coli,Animal,fosfomycin,2490,19822,12.56180002
Escherichia coli,Animal environment,fosfomycin,0,170,0
Escherichia coli,Animal feces,fosfomycin,1000,12396,8.067118425
Escherichia coli,Farm,fosfomycin,1044,6060,17.22772277
Escherichia coli,Egg,fosfomycin,12,28,42.85714286
Escherichia coli,Farm sewage,fosfomycin,,,
Escherichia coli,Fish/Seafood,fosfomycin,28,440,6.363636364
Escherichia coli,Food,fosfomycin,511,5138,9.945504087
Escherichia coli,Meat,fosfomycin,3882,24090,16.11457036
Escherichia coli,Reptile,fosfomycin,0,10,0
Escherichia coli,Cider,fosfomycin,2,14,14.28571429
Escherichia coli,Dairy,fosfomycin,81,969,8.359133127
Escherichia coli,Slaughterhouse,fosfomycin,162,681,23.78854626
Escherichia coli,Farm water,fosfomycin,3,45,6.666666667
Escherichia coli,Flour,fosfomycin,13,84,15.47619048
