Genus,Source,Gene,number,total,Percent
Escherichia coli,Clinical,aac(3),5573,40966,13.60396426
Escherichia coli,Animal,aac(3),1124,9972,11.27156037
Escherichia coli,Animal environment,aac(3),7,91,7.692307692
Escherichia coli,Animal feces,aac(3),229,4932,4.643146796
Escherichia coli,Farm,aac(3),215,1500,14.33333333
Escherichia coli,Egg,aac(3),4,26,15.38461538
Escherichia coli,Farm sewage,aac(3),4,6,66.66666667
Escherichia coli,Fish/Seafood,aac(3),3,221,1.357466063
Escherichia coli,Food,aac(3),136,765,17.77777778
Escherichia coli,Meat,aac(3),1493,9135,16.3437329
Escherichia coli,Reptile,aac(3),0,13,0
Escherichia coli,Cider,aac(3),0,14,0
Escherichia coli,Dairy,aac(3),4,325,1.230769231
Escherichia coli,Slaughterhouse,aac(3),21,247,8.502024291
Escherichia coli,Farm water,aac(3),2,29,6.896551724
Escherichia coli,Flour,aac(3),0,84,0
Escherichia coli,Fruit/vegetables,aac(3),28,763,3.669724771
Escherichia coli,Seeds,aac(3),0,5,0
Escherichia coli,Spice_Herbs,aac(3),0,49,0
Escherichia coli,Insect,aac(3),10,25,40
Escherichia coli,Nuts,aac(3),0,29,0
Escherichia coli,Plant,aac(3),0,16,0
Escherichia coli,Sewage,aac(3),51,331,15.40785498
Escherichia coli,Wastewater,aac(3),73,625,11.68
Escherichia coli,Water,aac(3),113,1464,7.718579235
Escherichia coli,Tea,aac(3),,,
Escherichia coli,Clinical,'aac(6'')-Ib-cr',3941,40966,9.620172826
Escherichia coli,Animal,'aac(6'')-Ib-cr',120,9972,1.203369434
Escherichia coli,Animal environment,'aac(6'')-Ib-cr',7,91,7.692307692
Escherichia coli,Animal feces,'aac(6'')-Ib-cr',51,4932,1.03406326
Escherichia coli,Farm,'aac(6'')-Ib-cr',31,1500,2.066666667
Escherichia coli,Egg,'aac(6'')-Ib-cr',0,26,0
Escherichia coli,Farm sewage,'aac(6'')-Ib-cr',0,6,0
Escherichia coli,Fish/Seafood,'aac(6'')-Ib-cr',1,221,0.452488688
Escherichia coli,Food,'aac(6'')-Ib-cr',20,765,2.614379085
Escherichia coli,Meat,'aac(6'')-Ib-cr',654,9135,7.159277504
Escherichia coli,Reptile,'aac(6'')-Ib-cr',0,13,0
Escherichia coli,Cider,'aac(6'')-Ib-cr',0,14,0
Escherichia coli,Dairy,'aac(6'')-Ib-cr',0,325,0
Escherichia coli,Slaughterhouse,'aac(6'')-Ib-cr',8,247,3.238866397
Escherichia coli,Farm water,'aac(6'')-Ib-cr',1,29,3.448275862
Escherichia coli,Flour,'aac(6'')-Ib-cr',0,84,0
Escherichia coli,Fruit/vegetables,'aac(6'')-Ib-cr',2,763,0.262123198
Escherichia coli,Seeds,'aac(6'')-Ib-cr',0,5,0
Escherichia coli,Spice_Herbs,'aac(6'')-Ib-cr',0,49,0
Escherichia coli,Insect,'aac(6'')-Ib-cr',0,25,0
Escherichia coli,Nuts,'aac(6'')-Ib-cr',0,29,0
Escherichia coli,Plant,'aac(6'')-Ib-cr',0,16,0
Escherichia coli,Sewage,'aac(6'')-Ib-cr',28,331,8.459214502
Escherichia coli,Wastewater,'aac(6'')-Ib-cr',56,625,8.96
Escherichia coli,Water,'aac(6'')-Ib-cr',28,1464,1.912568306
Escherichia coli,Tea,'aac(6'')-Ib-cr',,,
Escherichia coli,Clinical,aadA,12220,40966,29.8296148
Escherichia coli,Animal,aadA,2301,9972,23.0746089
Escherichia coli,Animal environment,aadA,7,91,7.692307692
Escherichia coli,Animal feces,aadA,631,4932,12.79399838
Escherichia coli,Farm,aadA,416,1500,27.73333333
Escherichia coli,Egg,aadA,4,26,15.38461538
Escherichia coli,Farm sewage,aadA,6,6,100
Escherichia coli,Fish/Seafood,aadA,21,221,9.502262443
Escherichia coli,Food,aadA,200,765,26.14379085
Escherichia coli,Meat,aadA,2418,9135,26.46962233
Escherichia coli,Reptile,aadA,1,13,7.692307692
Escherichia coli,Cider,aadA,0,14,0
Escherichia coli,Dairy,aadA,19,325,5.846153846
Escherichia coli,Slaughterhouse,aadA,90,247,36.43724696
Escherichia coli,Farm water,aadA,4,29,13.79310345
Escherichia coli,Flour,aadA,0,84,0
Escherichia coli,Fruit/vegetables,aadA,67,763,8.78112713
Escherichia coli,Seeds,aadA,0,5,0
Escherichia coli,Spice_Herbs,aadA,1,49,2.040816327
Escherichia coli,Insect,aadA,12,25,48
Escherichia coli,Nuts,aadA,0,29,0
Escherichia coli,Plant,aadA,0,16,0
Escherichia coli,Sewage,aadA,170,331,51.35951662
Escherichia coli,Wastewater,aadA,174,625,27.84
Escherichia coli,Water,aadA,228,1464,15.57377049
Escherichia coli,Tea,aadA,,,
Escherichia coli,Clinical,'aph(3'''')-Ib',11628,40966,28.38451399
Escherichia coli,Animal,'aph(3'''')-Ib',3042,9972,30.50541516
Escherichia coli,Animal environment,'aph(3'''')-Ib',8,91,8.791208791
Escherichia coli,Animal feces,'aph(3'''')-Ib',1133,4932,22.97242498
Escherichia coli,Farm,'aph(3'''')-Ib',497,1500,33.13333333
Escherichia coli,Egg,'aph(3'''')-Ib',7,26,26.92307692
Escherichia coli,Farm sewage,'aph(3'''')-Ib',4,6,66.66666667
Escherichia coli,Fish/Seafood,'aph(3'''')-Ib',22,221,9.954751131
Escherichia coli,Food,'aph(3'''')-Ib',162,765,21.17647059
Escherichia coli,Meat,'aph(3'''')-Ib',2268,9135,24.82758621
Escherichia coli,Reptile,'aph(3'''')-Ib',1,13,7.692307692
Escherichia coli,Cider,'aph(3'''')-Ib',0,14,0
Escherichia coli,Dairy,'aph(3'''')-Ib',46,325,14.15384615
Escherichia coli,Slaughterhouse,'aph(3'''')-Ib',60,247,24.29149798
Escherichia coli,Farm water,'aph(3'''')-Ib',9,29,31.03448276
Escherichia coli,Flour,'aph(3'''')-Ib',2,84,2.380952381
Escherichia coli,Fruit/vegetables,'aph(3'''')-Ib',135,763,17.69331586
Escherichia coli,Seeds,'aph(3'''')-Ib',0,5,0
Escherichia coli,Spice_Herbs,'aph(3'''')-Ib',5,49,10.20408163
Escherichia coli,Insect,'aph(3'''')-Ib',2,25,8
Escherichia coli,Nuts,'aph(3'''')-Ib',0,29,0
Escherichia coli,Plant,'aph(3'''')-Ib',0,16,0
Escherichia coli,Sewage,'aph(3'''')-Ib',117,331,35.34743202
Escherichia coli,Wastewater,'aph(3'''')-Ib',138,625,22.08
Escherichia coli,Water,'aph(3'''')-Ib',244,1464,16.66666667
Escherichia coli,Tea,'aph(3'''')-Ib',,,
Escherichia coli,Clinical,'aph(3'')',2270,40966,5.541180491
Escherichia coli,Animal,'aph(3'')',1278,9972,12.81588448
Escherichia coli,Animal environment,'aph(3'')',0,91,0
Escherichia coli,Animal feces,'aph(3'')',269,4932,5.454176805
Escherichia coli,Farm,'aph(3'')',275,1500,18.33333333
Escherichia coli,Egg,'aph(3'')',4,26,15.38461538
Escherichia coli,Farm sewage,'aph(3'')',4,6,66.66666667
Escherichia coli,Fish/Seafood,'aph(3'')',1,221,0.452488688
Escherichia coli,Food,'aph(3'')',69,765,9.019607843
Escherichia coli,Meat,'aph(3'')',737,9135,8.067870826
Escherichia coli,Reptile,'aph(3'')',0,13,0
Escherichia coli,Cider,'aph(3'')',0,14,0
Escherichia coli,Dairy,'aph(3'')',17,325,5.230769231
Escherichia coli,Slaughterhouse,'aph(3'')',26,247,10.52631579
Escherichia coli,Farm water,'aph(3'')',4,29,13.79310345
Escherichia coli,Flour,'aph(3'')',0,84,0
Escherichia coli,Fruit/vegetables,'aph(3'')',15,763,1.965923984
Escherichia coli,Seeds,'aph(3'')',0,5,0
Escherichia coli,Spice_Herbs,'aph(3'')',0,49,0
Escherichia coli,Insect,'aph(3'')',0,25,0
Escherichia coli,Nuts,'aph(3'')',0,29,0
Escherichia coli,Plant,'aph(3'')',0,16,0
Escherichia coli,Sewage,'aph(3'')',48,331,14.50151057
Escherichia coli,Wastewater,'aph(3'')',22,625,3.52
Escherichia coli,Water,'aph(3'')',52,1464,3.551912568
Escherichia coli,Tea,'aph(3'')',,,
Escherichia coli,Clinical,aph(6)-Id,11607,40966,28.33325197
Escherichia coli,Animal,aph(6)-Id,3046,9972,30.54552748
Escherichia coli,Animal environment,aph(6)-Id,8,91,8.791208791
Escherichia coli,Animal feces,aph(6)-Id,1136,4932,23.03325223
Escherichia coli,Farm,aph(6)-Id,495,1500,33
Escherichia coli,Egg,aph(6)-Id,7,26,26.92307692
Escherichia coli,Farm sewage,aph(6)-Id,4,6,66.66666667
Escherichia coli,Fish/Seafood,aph(6)-Id,22,221,9.954751131
Escherichia coli,Food,aph(6)-Id,175,765,22.87581699
Escherichia coli,Meat,aph(6)-Id,2239,9135,24.51012589
Escherichia coli,Reptile,aph(6)-Id,1,13,7.692307692
Escherichia coli,Cider,aph(6)-Id,0,14,0
Escherichia coli,Dairy,aph(6)-Id,46,325,14.15384615
Escherichia coli,Slaughterhouse,aph(6)-Id,59,247,23.88663968
Escherichia coli,Farm water,aph(6)-Id,9,29,31.03448276
Escherichia coli,Flour,aph(6)-Id,2,84,2.380952381
Escherichia coli,Fruit/vegetables,aph(6)-Id,136,763,17.82437746
Escherichia coli,Seeds,aph(6)-Id,0,5,0
Escherichia coli,Spice_Herbs,aph(6)-Id,5,49,10.20408163
