Species,Genus,total_genus,Source,Gene,number,total
Aeromonas salmonicida,Aeromonas,330,Raw pet food,aac(3),,
Aeromonas salmonicida,Aeromonas,330,Raw pet food,aac(6')-Ib-cr,,
Aeromonas salmonicida,Aeromonas,330,Raw pet food,aadA,,
Aeromonas salmonicida,Aeromonas,330,Raw pet food,aph(3'')-Ib,,
Aeromonas salmonicida,Aeromonas,330,Raw pet food,aph(3'),,
Aeromonas salmonicida,Aeromonas,330,Raw pet food,aph(6)-Id,,
Aeromonas salmonicida,Aeromonas,330,Raw pet food,blaACT,,
Aeromonas salmonicida,Aeromonas,330,Raw pet food,blaCARB,,
Aeromonas salmonicida,Aeromonas,330,Raw pet food,blaCMY,,
Aeromonas salmonicida,Aeromonas,330,Raw pet food,blaCMY-2,,
Aeromonas salmonicida,Aeromonas,330,Raw pet food,blaCTX-M,,
Aeromonas salmonicida,Aeromonas,330,Raw pet food,blaGES,,
Aeromonas salmonicida,Aeromonas,330,Raw pet food,blaIMP,,
Aeromonas salmonicida,Aeromonas,330,Raw pet food,blaKPC,,
Aeromonas salmonicida,Aeromonas,330,Raw pet food,blaNDM,,
Aeromonas salmonicida,Aeromonas,330,Raw pet food,blaOXA,,
Aeromonas salmonicida,Aeromonas,330,Raw pet food,blaPER,,
Aeromonas salmonicida,Aeromonas,330,Raw pet food,blaSHV,,
Aeromonas salmonicida,Aeromonas,330,Raw pet food,blaTEM,,
Aeromonas salmonicida,Aeromonas,330,Raw pet food,blaVIM,,
Aeromonas salmonicida,Aeromonas,330,Raw pet food,catA,,
Aeromonas salmonicida,Aeromonas,330,Raw pet food,cmlA,,
Aeromonas salmonicida,Aeromonas,330,Raw pet food,dfrA,,
Aeromonas salmonicida,Aeromonas,330,Raw pet food,mec,,
Aeromonas salmonicida,Aeromonas,330,Raw pet food,mcr-,,
Aeromonas salmonicida,Aeromonas,330,Raw pet food,mcr-1,,
Aeromonas salmonicida,Aeromonas,330,Raw pet food,mcr-9,,
Aeromonas salmonicida,Aeromonas,330,Raw pet food,qnrS,,
Aeromonas salmonicida,Aeromonas,330,Raw pet food,sul,,
Aeromonas salmonicida,Aeromonas,330,Raw pet food,tet,,
Aeromonas salmonicida,Aeromonas,330,Raw pet food,van,,
Aeromonas salmonicida,Aeromonas,330,Raw pet food,gyrA,,
Aeromonas salmonicida,Aeromonas,330,Raw pet food,parC,,
Aeromonas salmonicida,Aeromonas,330,Raw pet food,parE,,
Aeromonas salmonicida,Aeromonas,330,Pet food,aac(3),,
Aeromonas salmonicida,Aeromonas,330,Pet food,aac(6')-Ib-cr,,
Aeromonas salmonicida,Aeromonas,330,Pet food,aadA,,
Aeromonas salmonicida,Aeromonas,330,Pet food,aph(3'')-Ib,,
Aeromonas salmonicida,Aeromonas,330,Pet food,aph(3'),,
Aeromonas salmonicida,Aeromonas,330,Pet food,aph(6)-Id,,
Aeromonas salmonicida,Aeromonas,330,Pet food,blaACT,,
Aeromonas salmonicida,Aeromonas,330,Pet food,blaCARB,,
Aeromonas salmonicida,Aeromonas,330,Pet food,blaCMY,,
Aeromonas salmonicida,Aeromonas,330,Pet food,blaCMY-2,,
Aeromonas salmonicida,Aeromonas,330,Pet food,blaCTX-M,,
Aeromonas salmonicida,Aeromonas,330,Pet food,blaGES,,
Aeromonas salmonicida,Aeromonas,330,Pet food,blaIMP,,
Aeromonas salmonicida,Aeromonas,330,Pet food,blaKPC,,
Aeromonas salmonicida,Aeromonas,330,Pet food,blaNDM,,
Aeromonas salmonicida,Aeromonas,330,Pet food,blaOXA,,
Aeromonas salmonicida,Aeromonas,330,Pet food,blaPER,,
Aeromonas salmonicida,Aeromonas,330,Pet food,blaSHV,,
Aeromonas salmonicida,Aeromonas,330,Pet food,blaTEM,,
Aeromonas salmonicida,Aeromonas,330,Pet food,blaVIM,,
Aeromonas salmonicida,Aeromonas,330,Pet food,catA,,
Aeromonas salmonicida,Aeromonas,330,Pet food,cmlA,,
Aeromonas salmonicida,Aeromonas,330,Pet food,dfrA,,
Aeromonas salmonicida,Aeromonas,330,Pet food,mec,,
Aeromonas salmonicida,Aeromonas,330,Pet food,mcr-,,
Aeromonas salmonicida,Aeromonas,330,Pet food,mcr-1,,
Aeromonas salmonicida,Aeromonas,330,Pet food,mcr-9,,
Aeromonas salmonicida,Aeromonas,330,Pet food,qnrS,,
Aeromonas salmonicida,Aeromonas,330,Pet food,sul,,
Aeromonas salmonicida,Aeromonas,330,Pet food,tet,,
Aeromonas salmonicida,Aeromonas,330,Pet food,van,,
Aeromonas salmonicida,Aeromonas,330,Pet food,gyrA,,
Aeromonas salmonicida,Aeromonas,330,Pet food,parC,,
Aeromonas salmonicida,Aeromonas,330,Pet food,parE,,
Aeromonas salmonicida,Aeromonas,330,Egg,aac(3),,
Aeromonas salmonicida,Aeromonas,330,Egg,aac(6')-Ib-cr,,
Aeromonas salmonicida,Aeromonas,330,Egg,aadA,,
Aeromonas salmonicida,Aeromonas,330,Egg,aph(3'')-Ib,,
Aeromonas salmonicida,Aeromonas,330,Egg,aph(3'),,
Aeromonas salmonicida,Aeromonas,330,Egg,aph(6)-Id,,
Aeromonas salmonicida,Aeromonas,330,Egg,blaACT,,
Aeromonas salmonicida,Aeromonas,330,Egg,blaCARB,,
Aeromonas salmonicida,Aeromonas,330,Egg,blaCMY,,
Aeromonas salmonicida,Aeromonas,330,Egg,blaCMY-2,,
Aeromonas salmonicida,Aeromonas,330,Egg,blaCTX-M,,
Aeromonas salmonicida,Aeromonas,330,Egg,blaGES,,
Aeromonas salmonicida,Aeromonas,330,Egg,blaIMP,,
Aeromonas salmonicida,Aeromonas,330,Egg,blaKPC,,
Aeromonas salmonicida,Aeromonas,330,Egg,blaNDM,,
Aeromonas salmonicida,Aeromonas,330,Egg,blaOXA,,
Aeromonas salmonicida,Aeromonas,330,Egg,blaPER,,
Aeromonas salmonicida,Aeromonas,330,Egg,blaSHV,,
Aeromonas salmonicida,Aeromonas,330,Egg,blaTEM,,
Aeromonas salmonicida,Aeromonas,330,Egg,blaVIM,,
Aeromonas salmonicida,Aeromonas,330,Egg,catA,,
Aeromonas salmonicida,Aeromonas,330,Egg,cmlA,,
Aeromonas salmonicida,Aeromonas,330,Egg,dfrA,,
Aeromonas salmonicida,Aeromonas,330,Egg,mec,,
Aeromonas salmonicida,Aeromonas,330,Egg,mcr-,,
Aeromonas salmonicida,Aeromonas,330,Egg,mcr-1,,
Aeromonas salmonicida,Aeromonas,330,Egg,mcr-9,,
Aeromonas salmonicida,Aeromonas,330,Egg,qnrS,,
Aeromonas salmonicida,Aeromonas,330,Egg,sul,,
Aeromonas salmonicida,Aeromonas,330,Egg,tet,,
Aeromonas salmonicida,Aeromonas,330,Egg,van,,
Aeromonas salmonicida,Aeromonas,330,Egg,gyrA,,
Aeromonas salmonicida,Aeromonas,330,Egg,parC,,
Aeromonas salmonicida,Aeromonas,330,Egg,parE,,
Aeromonas salmonicida,Aeromonas,330,Fish/Seafood,aac(3),6,0
Aeromonas salmonicida,Aeromonas,330,Fish/Seafood,aac(6')-Ib-cr,6,0
Aeromonas salmonicida,Aeromonas,330,Fish/Seafood,aadA,6,0
Aeromonas salmonicida,Aeromonas,330,Fish/Seafood,aph(3'')-Ib,6,0
Aeromonas salmonicida,Aeromonas,330,Fish/Seafood,aph(3'),6,0
Aeromonas salmonicida,Aeromonas,330,Fish/Seafood,aph(6)-Id,6,0
Aeromonas salmonicida,Aeromonas,330,Fish/Seafood,blaACT,6,0
Aeromonas salmonicida,Aeromonas,330,Fish/Seafood,blaCARB,6,0
Aeromonas salmonicida,Aeromonas,330,Fish/Seafood,blaCMY,6,0
Aeromonas salmonicida,Aeromonas,330,Fish/Seafood,blaCMY-2,6,0
Aeromonas salmonicida,Aeromonas,330,Fish/Seafood,blaCTX-M,6,0
Aeromonas salmonicida,Aeromonas,330,Fish/Seafood,blaGES,6,0
Aeromonas salmonicida,Aeromonas,330,Fish/Seafood,blaIMP,6,0
Aeromonas salmonicida,Aeromonas,330,Fish/Seafood,blaKPC,6,0
Aeromonas salmonicida,Aeromonas,330,Fish/Seafood,blaNDM,6,0
Aeromonas salmonicida,Aeromonas,330,Fish/Seafood,blaOXA,6,6
Aeromonas salmonicida,Aeromonas,330,Fish/Seafood,blaPER,6,0
Aeromonas salmonicida,Aeromonas,330,Fish/Seafood,blaSHV,6,0
Aeromonas salmonicida,Aeromonas,330,Fish/Seafood,blaTEM,6,0
Aeromonas salmonicida,Aeromonas,330,Fish/Seafood,blaVIM,6,0
Aeromonas salmonicida,Aeromonas,330,Fish/Seafood,catA,6,0
Aeromonas salmonicida,Aeromonas,330,Fish/Seafood,cmlA,6,0
Aeromonas salmonicida,Aeromonas,330,Fish/Seafood,dfrA,6,0
Aeromonas salmonicida,Aeromonas,330,Fish/Seafood,mec,6,0
Aeromonas salmonicida,Aeromonas,330,Fish/Seafood,mcr-,6,3
Aeromonas salmonicida,Aeromonas,330,Fish/Seafood,mcr-1,6,0
Aeromonas salmonicida,Aeromonas,330,Fish/Seafood,mcr-9,6,0
Aeromonas salmonicida,Aeromonas,330,Fish/Seafood,qnrS,6,0
Aeromonas salmonicida,Aeromonas,330,Fish/Seafood,sul,6,1
Aeromonas salmonicida,Aeromonas,330,Fish/Seafood,tet,6,1
Aeromonas salmonicida,Aeromonas,330,Fish/Seafood,van,6,0
Aeromonas salmonicida,Aeromonas,330,Fish/Seafood,gyrA,6,0
Aeromonas salmonicida,Aeromonas,330,Fish/Seafood,parC,6,0
Aeromonas salmonicida,Aeromonas,330,Fish/Seafood,parE,6,0
