Species,Genus,Total_genus,Source,Class,total_from_source,number_res
Aeromonas salmonicida,Aeromonas,330,Raw pet food,aminoglycoside+Biocide,,
Aeromonas salmonicida,Aeromonas,330,Raw pet food,betalactam+Biocide,,
Aeromonas salmonicida,Aeromonas,330,Raw pet food,bleomycin+Biocide,,
Aeromonas salmonicida,Aeromonas,330,Raw pet food,fosfomycin+Biocide,,
Aeromonas salmonicida,Aeromonas,330,Raw pet food,fusidic acid+Biocide,,
Aeromonas salmonicida,Aeromonas,330,Raw pet food,glycopeptide+Biocide,,
Aeromonas salmonicida,Aeromonas,330,Raw pet food,MLS+Biocide,,
Aeromonas salmonicida,Aeromonas,330,Raw pet food,macrolide+Biocide,,
Aeromonas salmonicida,Aeromonas,330,Raw pet food,lincosamide+Biocide,,
Aeromonas salmonicida,Aeromonas,330,Raw pet food,lincosamide_streptogramin+Biocide,,
Aeromonas salmonicida,Aeromonas,330,Raw pet food,mupirocin+Biocide,,
Aeromonas salmonicida,Aeromonas,330,Raw pet food,nitroimidazole+Biocide,,
Aeromonas salmonicida,Aeromonas,330,Raw pet food,phenicol+Biocide,,
Aeromonas salmonicida,Aeromonas,330,Raw pet food,phenicol_oxazolidinone+Biocide,,
Aeromonas salmonicida,Aeromonas,330,Raw pet food,phenicol_quinolone+Biocide,,
Aeromonas salmonicida,Aeromonas,330,Raw pet food,pluromutilin+Biocide,,
Aeromonas salmonicida,Aeromonas,330,Raw pet food,polymyxin+Biocide,,
Aeromonas salmonicida,Aeromonas,330,Raw pet food,quinolone+Biocide,,
Aeromonas salmonicida,Aeromonas,330,Raw pet food,rifamycin+Biocide,,
Aeromonas salmonicida,Aeromonas,330,Raw pet food,streptogramin+Biocide,,
Aeromonas salmonicida,Aeromonas,330,Raw pet food,streptothricin+Biocide,,
Aeromonas salmonicida,Aeromonas,330,Raw pet food,sulphonamide+Biocide,,
Aeromonas salmonicida,Aeromonas,330,Raw pet food,tetracenomycin+Biocide,,
Aeromonas salmonicida,Aeromonas,330,Raw pet food,tetracycline+Biocide,,
Aeromonas salmonicida,Aeromonas,330,Raw pet food,thiostrepton+Biocide,,
Aeromonas salmonicida,Aeromonas,330,Raw pet food,trimethoprim+Biocide,,
Aeromonas salmonicida,Aeromonas,330,Raw pet food,tuberactinomycin+Biocide,,
Aeromonas salmonicida,Aeromonas,330,Raw pet food,Metal+Biocide,,
Aeromonas salmonicida,Aeromonas,330,Pet food,aminoglycoside+Biocide,,
Aeromonas salmonicida,Aeromonas,330,Pet food,betalactam+Biocide,,
