Genus,Source,Gene,number,total
Aeromonas salmonicida,330,Animal,qac,0,0
Aeromonas salmonicida,330,Animal,qacEdelta,0,0
Aeromonas salmonicida,330,Animal,qacC,0,0
Aeromonas salmonicida,330,Animal,qacE,0,0
Aeromonas salmonicida,330,Animal,qacA,0,0
Aeromonas salmonicida,330,Animal,qacB,0,0
Aeromonas salmonicida,330,Animal,qacF,0,0
Aeromonas salmonicida,330,Animal,qacG,0,0
Aeromonas salmonicida,330,Animal,qacH,0,0
Aeromonas salmonicida,330,Animal,qacJ,0,0
Aeromonas salmonicida,330,Animal,qacK,0,0
Aeromonas salmonicida,330,Animal,qacL,0,0
Aeromonas salmonicida,330,Animal,qacM,0,0
Aeromonas salmonicida,330,Animal,sugE,0,0
Aeromonas salmonicida,330,Animal,bcrABC,0,0
Aeromonas salmonicida,330,Animal,crcB,0,0
Aeromonas salmonicida,330,Animal,srp,0,0
Aeromonas salmonicida,330,Animal,smd,0,0
Aeromonas salmonicida,330,Animal,sde,0,0
Aeromonas salmonicida,330,Animal,lmrS,0,0
Aeromonas salmonicida,330,Animal,smr,0,0
Aeromonas salmonicida,330,Animal,ssmE,0,0
Aeromonas salmonicida,330,Animal,tbtR,0,0
Aeromonas salmonicida,330,Animal,ttg,0,0
Aeromonas salmonicida,330,Animal,ttgR,0,0
Aeromonas salmonicida,330,Animal,ttgT,0,0
Aeromonas salmonicida,330,Animal,mtrF,0,0
Aeromonas salmonicida,330,Animal,emrE,0,0
Aeromonas salmonicida,330,Animal environment,qac,0,0
Aeromonas salmonicida,330,Animal environment,qacEdelta,0,0
Aeromonas salmonicida,330,Animal environment,qacC,0,0
Aeromonas salmonicida,330,Animal environment,qacE,0,0
Aeromonas salmonicida,330,Animal environment,qacA,0,0
Aeromonas salmonicida,330,Animal environment,qacB,0,0
Aeromonas salmonicida,330,Animal environment,qacF,0,0
Aeromonas salmonicida,330,Animal environment,qacG,0,0
Aeromonas salmonicida,330,Animal environment,qacH,0,0
Aeromonas salmonicida,330,Animal environment,qacJ,0,0
Aeromonas salmonicida,330,Animal environment,qacK,0,0
Aeromonas salmonicida,330,Animal environment,qacL,0,0
Aeromonas salmonicida,330,Animal environment,qacM,0,0
Aeromonas salmonicida,330,Animal environment,sugE,0,0
Aeromonas salmonicida,330,Animal environment,bcrABC,0,0
Aeromonas salmonicida,330,Animal environment,crcB,0,0
Aeromonas salmonicida,330,Animal environment,srp,0,0
Aeromonas salmonicida,330,Animal environment,smd,0,0
Aeromonas salmonicida,330,Animal environment,sde,0,0
Aeromonas salmonicida,330,Animal environment,lmrS,0,0
Aeromonas salmonicida,330,Animal environment,smr,0,0
Aeromonas salmonicida,330,Animal environment,ssmE,0,0
Aeromonas salmonicida,330,Animal environment,tbtR,0,0
Aeromonas salmonicida,330,Animal environment,ttg,0,0
Aeromonas salmonicida,330,Animal environment,ttgR,0,0
Aeromonas salmonicida,330,Animal environment,ttgT,0,0
Aeromonas salmonicida,330,Animal environment,mtrF,0,0
Aeromonas salmonicida,330,Animal environment,emrE,0,0
Aeromonas salmonicida,330,Animal feces,qac,0,0
Aeromonas salmonicida,330,Animal feces,qacEdelta,0,0
Aeromonas salmonicida,330,Animal feces,qacC,0,0
Aeromonas salmonicida,330,Animal feces,qacE,0,0
Aeromonas salmonicida,330,Animal feces,qacA,0,0
Aeromonas salmonicida,330,Animal feces,qacB,0,0
Aeromonas salmonicida,330,Animal feces,qacF,0,0
Aeromonas salmonicida,330,Animal feces,qacG,0,0
Aeromonas salmonicida,330,Animal feces,qacH,0,0
Aeromonas salmonicida,330,Animal feces,qacJ,0,0
Aeromonas salmonicida,330,Animal feces,qacK,0,0
Aeromonas salmonicida,330,Animal feces,qacL,0,0
Aeromonas salmonicida,330,Animal feces,qacM,0,0
Aeromonas salmonicida,330,Animal feces,sugE,0,0
Aeromonas salmonicida,330,Animal feces,bcrABC,0,0
Aeromonas salmonicida,330,Animal feces,crcB,0,0
Aeromonas salmonicida,330,Animal feces,srp,0,0
Aeromonas salmonicida,330,Animal feces,smd,0,0
Aeromonas salmonicida,330,Animal feces,sde,0,0
Aeromonas salmonicida,330,Animal feces,lmrS,0,0
Aeromonas salmonicida,330,Animal feces,smr,0,0
Aeromonas salmonicida,330,Animal feces,ssmE,0,0
Aeromonas salmonicida,330,Animal feces,tbtR,0,0
Aeromonas salmonicida,330,Animal feces,ttg,0,0
Aeromonas salmonicida,330,Animal feces,ttgR,0,0
Aeromonas salmonicida,330,Animal feces,ttgT,0,0
Aeromonas salmonicida,330,Animal feces,mtrF,0,0
Aeromonas salmonicida,330,Animal feces,emrE,0,0
Aeromonas salmonicida,330,Animal feed,qac,0,0
Aeromonas salmonicida,330,Animal feed,qacEdelta,0,0
Aeromonas salmonicida,330,Animal feed,qacC,0,0
Aeromonas salmonicida,330,Animal feed,qacE,0,0
Aeromonas salmonicida,330,Animal feed,qacA,0,0
Aeromonas salmonicida,330,Animal feed,qacB,0,0
Aeromonas salmonicida,330,Animal feed,qacF,0,0
Aeromonas salmonicida,330,Animal feed,qacG,0,0
Aeromonas salmonicida,330,Animal feed,qacH,0,0
Aeromonas salmonicida,330,Animal feed,qacJ,0,0
Aeromonas salmonicida,330,Animal feed,qacK,0,0
Aeromonas salmonicida,330,Animal feed,qacL,0,0
Aeromonas salmonicida,330,Animal feed,qacM,0,0
Aeromonas salmonicida,330,Animal feed,sugE,0,0
Aeromonas salmonicida,330,Animal feed,bcrABC,0,0
Aeromonas salmonicida,330,Animal feed,crcB,0,0
Aeromonas salmonicida,330,Animal feed,srp,0,0
Aeromonas salmonicida,330,Animal feed,smd,0,0
Aeromonas salmonicida,330,Animal feed,sde,0,0
Aeromonas salmonicida,330,Animal feed,lmrS,0,0
Aeromonas salmonicida,330,Animal feed,smr,0,0
Aeromonas salmonicida,330,Animal feed,ssmE,0,0
Aeromonas salmonicida,330,Animal feed,tbtR,0,0
Aeromonas salmonicida,330,Animal feed,ttg,0,0
Aeromonas salmonicida,330,Animal feed,ttgR,0,0
Aeromonas salmonicida,330,Animal feed,ttgT,0,0
Aeromonas salmonicida,330,Animal feed,mtrF,0,0
Aeromonas salmonicida,330,Animal feed,emrE,0,0
Aeromonas salmonicida,330,Raw pet food,qac,0,0
Aeromonas salmonicida,330,Raw pet food,qacEdelta,0,0
Aeromonas salmonicida,330,Raw pet food,qacC,0,0
Aeromonas salmonicida,330,Raw pet food,qacE,0,0
Aeromonas salmonicida,330,Raw pet food,qacA,0,0
Aeromonas salmonicida,330,Raw pet food,qacB,0,0
Aeromonas salmonicida,330,Raw pet food,qacF,0,0
Aeromonas salmonicida,330,Raw pet food,qacG,0,0
Aeromonas salmonicida,330,Raw pet food,qacH,0,0
Aeromonas salmonicida,330,Raw pet food,qacJ,0,0
Aeromonas salmonicida,330,Raw pet food,qacK,0,0
Aeromonas salmonicida,330,Raw pet food,qacL,0,0
Aeromonas salmonicida,330,Raw pet food,qacM,0,0
Aeromonas salmonicida,330,Raw pet food,sugE,0,0
Aeromonas salmonicida,330,Raw pet food,bcrABC,0,0
Aeromonas salmonicida,330,Raw pet food,crcB,0,0
Aeromonas salmonicida,330,Raw pet food,srp,0,0
Aeromonas salmonicida,330,Raw pet food,smd,0,0
Aeromonas salmonicida,330,Raw pet food,sde,0,0
Aeromonas salmonicida,330,Raw pet food,lmrS,0,0
Aeromonas salmonicida,330,Raw pet food,smr,0,0
Aeromonas salmonicida,330,Raw pet food,ssmE,0,0
Aeromonas salmonicida,330,Raw pet food,tbtR,0,0
Aeromonas salmonicida,330,Raw pet food,ttg,0,0
Aeromonas salmonicida,330,Raw pet food,ttgR,0,0
Aeromonas salmonicida,330,Raw pet food,ttgT,0,0
Aeromonas salmonicida,330,Raw pet food,mtrF,0,0
Aeromonas salmonicida,330,Raw pet food,emrE,0,0
Aeromonas salmonicida,330,Pet food,qac,0,0
Aeromonas salmonicida,330,Pet food,qacEdelta,0,0
Aeromonas salmonicida,330,Pet food,qacC,0,0
Aeromonas salmonicida,330,Pet food,qacE,0,0
Aeromonas salmonicida,330,Pet food,qacA,0,0
