Species,Genus,Total_genus,Source,Class,total_from_source,number_res
Aeromonas salmonicida,Aeromonas,330,Raw pet food,aminoglycoside,,
Aeromonas salmonicida,Aeromonas,330,Raw pet food,betalactam,,
Aeromonas salmonicida,Aeromonas,330,Raw pet food,bleomycin,,
Aeromonas salmonicida,Aeromonas,330,Raw pet food,fosfomycin,,
Aeromonas salmonicida,Aeromonas,330,Raw pet food,fusidic acid,,
Aeromonas salmonicida,Aeromonas,330,Raw pet food,glycopeptide,,
Aeromonas salmonicida,Aeromonas,330,Raw pet food,MLS,,
Aeromonas salmonicida,Aeromonas,330,Raw pet food,macrolide,,
Aeromonas salmonicida,Aeromonas,330,Raw pet food,lincosamide,,
Aeromonas salmonicida,Aeromonas,330,Raw pet food,lincosamide_streptogramin,,
Aeromonas salmonicida,Aeromonas,330,Raw pet food,mupirocin,,
Aeromonas salmonicida,Aeromonas,330,Raw pet food,nitroimidazole,,
Aeromonas salmonicida,Aeromonas,330,Raw pet food,phenicol,,
Aeromonas salmonicida,Aeromonas,330,Raw pet food,phenicol_oxazolidinone,,
Aeromonas salmonicida,Aeromonas,330,Raw pet food,phenicol_quinolone,,
Aeromonas salmonicida,Aeromonas,330,Raw pet food,pluromutilin,,
Aeromonas salmonicida,Aeromonas,330,Raw pet food,polymyxin,,
Aeromonas salmonicida,Aeromonas,330,Raw pet food,quinolone,,
Aeromonas salmonicida,Aeromonas,330,Raw pet food,rifamycin,,
Aeromonas salmonicida,Aeromonas,330,Raw pet food,streptogramin,,
Aeromonas salmonicida,Aeromonas,330,Raw pet food,streptothricin,,
Aeromonas salmonicida,Aeromonas,330,Raw pet food,sulphonamide,,
Aeromonas salmonicida,Aeromonas,330,Raw pet food,tetracenomycin,,
Aeromonas salmonicida,Aeromonas,330,Raw pet food,tetracycline,,
Aeromonas salmonicida,Aeromonas,330,Raw pet food,thiostrepton,,
Aeromonas salmonicida,Aeromonas,330,Raw pet food,trimethoprim,,
Aeromonas salmonicida,Aeromonas,330,Raw pet food,tuberactinomycin,,
Aeromonas salmonicida,Aeromonas,330,Raw pet food,Biocide,,
Aeromonas salmonicida,Aeromonas,330,Raw pet food,Metal,,
Aeromonas salmonicida,Aeromonas,330,Pet food,aminoglycoside,,
Aeromonas salmonicida,Aeromonas,330,Pet food,betalactam,,
Aeromonas salmonicida,Aeromonas,330,Pet food,bleomycin,,
Aeromonas salmonicida,Aeromonas,330,Pet food,fosfomycin,,
Aeromonas salmonicida,Aeromonas,330,Pet food,fusidic acid,,
Aeromonas salmonicida,Aeromonas,330,Pet food,glycopeptide,,
Aeromonas salmonicida,Aeromonas,330,Pet food,MLS,,
Aeromonas salmonicida,Aeromonas,330,Pet food,macrolide,,
Aeromonas salmonicida,Aeromonas,330,Pet food,lincosamide,,
Aeromonas salmonicida,Aeromonas,330,Pet food,lincosamide_streptogramin,,
Aeromonas salmonicida,Aeromonas,330,Pet food,mupirocin,,
Aeromonas salmonicida,Aeromonas,330,Pet food,nitroimidazole,,
Aeromonas salmonicida,Aeromonas,330,Pet food,phenicol,,
Aeromonas salmonicida,Aeromonas,330,Pet food,phenicol_oxazolidinone,,
Aeromonas salmonicida,Aeromonas,330,Pet food,phenicol_quinolone,,
Aeromonas salmonicida,Aeromonas,330,Pet food,pluromutilin,,
Aeromonas salmonicida,Aeromonas,330,Pet food,polymyxin,,
Aeromonas salmonicida,Aeromonas,330,Pet food,quinolone,,
Aeromonas salmonicida,Aeromonas,330,Pet food,rifamycin,,
Aeromonas salmonicida,Aeromonas,330,Pet food,streptogramin,,
Aeromonas salmonicida,Aeromonas,330,Pet food,streptothricin,,
Aeromonas salmonicida,Aeromonas,330,Pet food,sulphonamide,,
Aeromonas salmonicida,Aeromonas,330,Pet food,tetracenomycin,,
Aeromonas salmonicida,Aeromonas,330,Pet food,tetracycline,,
Aeromonas salmonicida,Aeromonas,330,Pet food,thiostrepton,,
Aeromonas salmonicida,Aeromonas,330,Pet food,trimethoprim,,
Aeromonas salmonicida,Aeromonas,330,Pet food,tuberactinomycin,,
Aeromonas salmonicida,Aeromonas,330,Pet food,Biocide,,
Aeromonas salmonicida,Aeromonas,330,Pet food,Metal,,
Aeromonas salmonicida,Aeromonas,330,Egg,aminoglycoside,,
Aeromonas salmonicida,Aeromonas,330,Egg,betalactam,,
Aeromonas salmonicida,Aeromonas,330,Egg,bleomycin,,
Aeromonas salmonicida,Aeromonas,330,Egg,fosfomycin,,
Aeromonas salmonicida,Aeromonas,330,Egg,fusidic acid,,
Aeromonas salmonicida,Aeromonas,330,Egg,glycopeptide,,
Aeromonas salmonicida,Aeromonas,330,Egg,MLS,,
Aeromonas salmonicida,Aeromonas,330,Egg,macrolide,,
Aeromonas salmonicida,Aeromonas,330,Egg,lincosamide,,
Aeromonas salmonicida,Aeromonas,330,Egg,lincosamide_streptogramin,,
Aeromonas salmonicida,Aeromonas,330,Egg,mupirocin,,
