Genus,total_genus,Source,Gene,number,total
Aeromonas salmonicida,330,Animal,acr,0,0
Aeromonas salmonicida,330,Animal,ars,0,0
Aeromonas salmonicida,330,Animal,cad,0,0
Aeromonas salmonicida,330,Animal,chr,0,0
Aeromonas salmonicida,330,Animal,cnr,0,0
Aeromonas salmonicida,330,Animal,cop,0,0
Aeromonas salmonicida,330,Animal,cue,0,0
Aeromonas salmonicida,330,Animal,dps,0,0
Aeromonas salmonicida,330,Animal,fie,0,0
Aeromonas salmonicida,330,Animal,gol,0,0
Aeromonas salmonicida,330,Animal,kla,0,0
Aeromonas salmonicida,330,Animal,mco,0,0
Aeromonas salmonicida,330,Animal,mer,0,0
Aeromonas salmonicida,330,Animal,mrd,0,0
Aeromonas salmonicida,330,Animal,mre,0,0
Aeromonas salmonicida,330,Animal,ncc,0,0
Aeromonas salmonicida,330,Animal,ncr,0,0
Aeromonas salmonicida,330,Animal,nir,0,0
Aeromonas salmonicida,330,Animal,nre,0,0
Aeromonas salmonicida,330,Animal,pco,0,0
Aeromonas salmonicida,330,Animal,sil,0,0
Aeromonas salmonicida,330,Animal,tcr,0,0
Aeromonas salmonicida,330,Animal,ter,0,0
Aeromonas salmonicida,330,Animal environment,acr,0,0
Aeromonas salmonicida,330,Animal environment,ars,0,0
Aeromonas salmonicida,330,Animal environment,cad,0,0
Aeromonas salmonicida,330,Animal environment,chr,0,0
Aeromonas salmonicida,330,Animal environment,cnr,0,0
Aeromonas salmonicida,330,Animal environment,cop,0,0
Aeromonas salmonicida,330,Animal environment,cue,0,0
Aeromonas salmonicida,330,Animal environment,dps,0,0
Aeromonas salmonicida,330,Animal environment,fie,0,0
Aeromonas salmonicida,330,Animal environment,gol,0,0
Aeromonas salmonicida,330,Animal environment,kla,0,0
Aeromonas salmonicida,330,Animal environment,mco,0,0
Aeromonas salmonicida,330,Animal environment,mer,0,0
Aeromonas salmonicida,330,Animal environment,mrd,0,0
Aeromonas salmonicida,330,Animal environment,mre,0,0
Aeromonas salmonicida,330,Animal environment,ncc,0,0
Aeromonas salmonicida,330,Animal environment,ncr,0,0
Aeromonas salmonicida,330,Animal environment,nir,0,0
Aeromonas salmonicida,330,Animal environment,nre,0,0
Aeromonas salmonicida,330,Animal environment,pco,0,0
Aeromonas salmonicida,330,Animal environment,sil,0,0
Aeromonas salmonicida,330,Animal environment,tcr,0,0
Aeromonas salmonicida,330,Animal environment,ter,0,0
Aeromonas salmonicida,330,Animal feces,acr,0,0
Aeromonas salmonicida,330,Animal feces,ars,0,0
Aeromonas salmonicida,330,Animal feces,cad,0,0
Aeromonas salmonicida,330,Animal feces,chr,0,0
Aeromonas salmonicida,330,Animal feces,cnr,0,0
Aeromonas salmonicida,330,Animal feces,cop,0,0
Aeromonas salmonicida,330,Animal feces,cue,0,0
Aeromonas salmonicida,330,Animal feces,dps,0,0
Aeromonas salmonicida,330,Animal feces,fie,0,0
Aeromonas salmonicida,330,Animal feces,gol,0,0
Aeromonas salmonicida,330,Animal feces,kla,0,0
Aeromonas salmonicida,330,Animal feces,mco,0,0
Aeromonas salmonicida,330,Animal feces,mer,0,0
Aeromonas salmonicida,330,Animal feces,mrd,0,0
Aeromonas salmonicida,330,Animal feces,mre,0,0
Aeromonas salmonicida,330,Animal feces,ncc,0,0
Aeromonas salmonicida,330,Animal feces,ncr,0,0
Aeromonas salmonicida,330,Animal feces,nir,0,0
Aeromonas salmonicida,330,Animal feces,nre,0,0
Aeromonas salmonicida,330,Animal feces,pco,0,0
Aeromonas salmonicida,330,Animal feces,sil,0,0
Aeromonas salmonicida,330,Animal feces,tcr,0,0
Aeromonas salmonicida,330,Animal feces,ter,0,0
Aeromonas salmonicida,330,Animal feed,acr,0,0
Aeromonas salmonicida,330,Animal feed,ars,0,0
Aeromonas salmonicida,330,Animal feed,cad,0,0
Aeromonas salmonicida,330,Animal feed,chr,0,0
Aeromonas salmonicida,330,Animal feed,cnr,0,0
Aeromonas salmonicida,330,Animal feed,cop,0,0
Aeromonas salmonicida,330,Animal feed,cue,0,0
Aeromonas salmonicida,330,Animal feed,dps,0,0
Aeromonas salmonicida,330,Animal feed,fie,0,0
Aeromonas salmonicida,330,Animal feed,gol,0,0
Aeromonas salmonicida,330,Animal feed,kla,0,0
Aeromonas salmonicida,330,Animal feed,mco,0,0
