Species,Genus,Source,Cluster,total_source,number
Aeromonas salmonicida,Aeromonas,Raw pet food,vanA_YXcluster,,
Aeromonas salmonicida,Aeromonas,Raw pet food,vanA_cluster,,
Aeromonas salmonicida,Aeromonas,Raw pet food,vanB_YXcluster,,
Aeromonas salmonicida,Aeromonas,Raw pet food,vanB_cluster,,
Aeromonas salmonicida,Aeromonas,Raw pet food,vanRSPt_cluster,,
Aeromonas salmonicida,Aeromonas,Raw pet food,vanGZ_cluster,,
Aeromonas salmonicida,Aeromonas,Raw pet food,vanG_cluster,,
Aeromonas salmonicida,Aeromonas,Pet food,vanA_YXcluster,,
Aeromonas salmonicida,Aeromonas,Pet food,vanA_cluster,,
Aeromonas salmonicida,Aeromonas,Pet food,vanB_YXcluster,,
Aeromonas salmonicida,Aeromonas,Pet food,vanB_cluster,,
Aeromonas salmonicida,Aeromonas,Pet food,vanRSPt_cluster,,
Aeromonas salmonicida,Aeromonas,Pet food,vanGZ_cluster,,
Aeromonas salmonicida,Aeromonas,Pet food,vanG_cluster,,
Aeromonas salmonicida,Aeromonas,Egg,vanA_YXcluster,,
Aeromonas salmonicida,Aeromonas,Egg,vanA_cluster,,
Aeromonas salmonicida,Aeromonas,Egg,vanB_YXcluster,,
Aeromonas salmonicida,Aeromonas,Egg,vanB_cluster,,
Aeromonas salmonicida,Aeromonas,Egg,vanRSPt_cluster,,
Aeromonas salmonicida,Aeromonas,Egg,vanGZ_cluster,,
Aeromonas salmonicida,Aeromonas,Egg,vanG_cluster,,
Aeromonas salmonicida,Aeromonas,Fish/Seafood,vanA_YXcluster,6,0
Aeromonas salmonicida,Aeromonas,Fish/Seafood,vanA_cluster,6,0
Aeromonas salmonicida,Aeromonas,Fish/Seafood,vanB_YXcluster,6,0
Aeromonas salmonicida,Aeromonas,Fish/Seafood,vanB_cluster,6,0
Aeromonas salmonicida,Aeromonas,Fish/Seafood,vanRSPt_cluster,6,0
Aeromonas salmonicida,Aeromonas,Fish/Seafood,vanGZ_cluster,6,0
Aeromonas salmonicida,Aeromonas,Fish/Seafood,vanG_cluster,6,0
Aeromonas salmonicida,Aeromonas,Multi-product,vanA_YXcluster,6,0
Aeromonas salmonicida,Aeromonas,Multi-product,vanA_cluster,6,0
Aeromonas salmonicida,Aeromonas,Multi-product,vanB_YXcluster,6,0
Aeromonas salmonicida,Aeromonas,Multi-product,vanB_cluster,6,0
Aeromonas salmonicida,Aeromonas,Multi-product,vanRSPt_cluster,6,0
Aeromonas salmonicida,Aeromonas,Multi-product,vanGZ_cluster,6,0
Aeromonas salmonicida,Aeromonas,Multi-product,vanG_cluster,6,0
Aeromonas salmonicida,Aeromonas,Meat/Poultry,vanA_YXcluster,4,0
Aeromonas salmonicida,Aeromonas,Meat/Poultry,vanA_cluster,4,0
Aeromonas salmonicida,Aeromonas,Meat/Poultry,vanB_YXcluster,4,0
Aeromonas salmonicida,Aeromonas,Meat/Poultry,vanB_cluster,4,0
Aeromonas salmonicida,Aeromonas,Meat/Poultry,vanRSPt_cluster,4,0
