animal,animalfeed,aquaticanimals,avian,egg,fishegg,avianegg,multiingredient,fruit_vegetables,meatpoultry,herbs,nutsseeds,clinical/research,companionanimal,crustaceans,dairy,fish_seafood,environmental,animalenvironment,plantenvironment,environmentalfactory,foodretailenvironment
animal,animal feed,aquatic animals,avian,eggs\| other animal,eggs\| fish,"avian\, eggs",beans\| fish,beans,beef,herbs,nuts,clinical/research,companion animal,crustaceans,dairy,engineered seafood,environmental,environmental\-animal housing,environmental\| pome fruit,environmental\-factory/production facility,environmental\-restaurant
animal\| meat,animal feed\| environmental\-farm\| cow,,,eggs\| poultry,fish\| eggs,"avian\, environmental\-water\, eggs",beans\| seeds,fruits,beef\| pork,herbs\| seeds,nuts\| seeded vegetables \(legumes\),"clinical/research\, human",companion animal\| fish,,dairy\| other animal,fish\| other animal,Environmental,environmental\-animal housing\| environmental\-farm,environmental\| root/underground \(bulbs\),environmental\-factory/production facility\| dairy,environmental\-restaurant\| environmental\-factory/production facility
"animal\| meat\,other animal",animal feed\| poultry,,,eggs\| turkey,fish\| fish eggs,avian\| eggs,beans\| sprouts,fruits\| seeded vegetables \(solanaceous\),beef\| chicken,herbs\| vegetable row crops \(leafy\),nuts seeded vegetables \(legumes\),clinical/research\| human,,,"dairy\, other animal",fish,environmental\| aquatic animals,environmental\-abattoir,,environmental\-factory/production facility\| melon fruit,environmental\-retail
animal\| other animal,animal feed\| other animal,,,eggs\| other poultry,,,beans\| seeded vegetables \(legumes\),fruits\| vegetables,beef\| cow,herbs\| vegetable row crops \(flower\),nuts\| seeds,clinical/research \| human,,,diary,"fish\, other animal",environmental\| plant,environmental\-abattoir\| other animal,,environmental\-factory/production facility\| aquatic animals,environmental\-retail\| food
cow,animal feed\| seeds,,,eggs,,,beef\| seeded vegetables \(other\),fruits herbs,beef\| turkey,herbs\| other \(flavoring or seasoning\),nutsseeds,clinical/research\|human,,,,mollusks \(bi\-valve\),environmental \(swab or sampling\):GENEPIO_0001732\| environmental sponge:CURATION_0000380,environmental\-animal housing\| chicken,,environmental\-factory/production facility\| beans\| sprouts,
cow\| other animal,,,,chicken\| eggs,,,chicken\| fungi,fruits\| grains,chicken,herbs\| other \(food additive\),seeds,,,,,mollusks \(non\-bi\-valve\),,environmental\-animal housing\| cow,,environmental\-factory/production facility\| beef,
pig,,,,poultry\| eggs,,,dairy\| other \(confectionery\),fruits\| herbs,game,herbsvegetable row crops \(stem\),seeds\| other \(flavoring or seasoning\),,,,,shellfish,,environmental\-abattoir\| chicken,,environmental\-factory/production facility\| dairy\| environmental\-factory\| other \(confectionery\),
wild animal,,,,,,,dairy\| pork,fruits\| seeds,meat,,,,,,,,,environmental\-abattoir\| environmental\-animal housing,,environmental\-factory/production facility\| environmental\-factory,
,,,,,,,dairy\| seeded vegetables \(solanaceous\),fungi,meat\| pig,,,,,,,,,environmental\-abattoir\| meat,,environmental\-factory/production facility\| environmental\-vehicle,
